Airline_Name,Food_&_Beverages,Inflight_Entertainment,Seat_Comfort,Staff_Service,Value_for_Money,Review_Count,Rating
Novoair,3,1,3,4,3,2,4
Okay Airways,2,0,3,2,4,4,6
Olympic Air,4,1,4,4,4,79,7
Oman Air,3,4,4,4,4,411,6
Omni Air International,3,2,3,4,3,7,5
Onur Air,2,1,2,2,3,133,5
Openskies,1,1,2,2,2,65,6
Orient Thai Airlines,1,0,2,2,3,41,7
Pakistan Intl Airlines,3,2,3,3,3,158,5
PAL Express,2,1,3,3,4,8,5
Pan Pacific Airlines,1,0,1,1,1,1,1
Passaredo,1,1,2,2,3,3,3
Passion Air,3,0,2,3,4,1,6
PAWA Dominicana,3,0,3,5,3,2,5
Peach Aviation,3,0,3,3,3,56,5
Pegasus Airlines,2,1,2,3,3,327,4
PenAir,2,0,3,3,2,3,3
Peruvian Airlines,2,1,2,2,2,43,2
Petroleum Air Services,5,0,5,4,5,2,9
Philippine Airlines,3,3,3,4,3,695,6
Phuket Air,0,0,0,0,0,40,2
Pobeda Airlines,1,1,2,2,2,35,2
Porter Airlines,3,1,3,3,2,288,4
Precision Air,3,1,3,3,3,75,4
Primera Air,1,2,4,3,3,7,3
Privilege Style,3,1,3,3,3,13,5
Qantas Airways,3,3,3,4,3,1527,6
QantasLink,3,1,3,3,3,106,7
Qatar Airways,4,4,4,4,4,1712,7
Qazaq Air,5,0,4,5,5,2,9
Ravn Alaska,3,1,2,3,2,9,4
Red Wings Airlines,4,5,4,5,3,2,5
Regent Airways,2,2,3,3,3,22,5
Regional Express,3,0,3,4,3,62,6
Rhein-Neckar Air,5,0,4,5,5,1,10
Rossiya Airlines,3,1,3,4,4,45,6
Royal Air Maroc,3,2,3,3,3,290,5
Royal Brunei Airlines,4,3,4,4,4,349,7
Royal Jordanian Airlines,3,3,3,3,3,300,5
Rwandair,3,2,3,3,3,69,5
Ryanair,2,1,2,3,3,1914,5
S7 Siberia Airlines,3,2,4,4,4,62,7
SA Express,2,1,2,2,2,45,5
Safarilink,3,0,4,2,3,2,8
Safi Airways,1,0,1,2,2,10,5
Salam Air,0,1,3,4,4,2,6
Sansa Airlines,0,1,4,5,3,4,5
Santa Barbara Airlines,3,2,2,3,3,25,5
SAS Scandinavian,3,2,3,3,3,691,5
SATA Air Azores,2,1,2,2,2,130,4
SATA International,2,2,2,2,2,105,4
SATENA,0,0,3,3,3,2,5
Saudi Arabian Airlines,3,3,3,3,3,297,5
SCAT Airlines,3,0,3,4,5,4,7
Scoot,2,1,3,3,3,562,5
Seaborne Airlines,1,0,2,2,1,15,2
SereneAir,4,1,4,5,4,4,8
Shaheen Air,4,0,4,4,4,12,7
Shandong Airlines,3,2,3,4,3,24,5
Shanghai Airlines,3,2,3,3,3,72,5
Shenzhen Airlines,2,2,3,3,3,42,4
Sichuan Airlines,3,2,3,3,3,48,5
SilkAir,3,2,3,4,3,214,7
Silver Airways,1,1,2,2,2,90,2
Singapore Airlines,4,4,4,4,4,1272,7
Sky Airline,3,1,2,3,2,36,4
Sky Express Airlines,3,1,3,3,3,26,4
Skybus,0,0,0,0,0,2,3
Skymark Airlines,4,1,4,5,4,17,8
Skytrans Airlines,5,0,4,5,3,1,8
SkyWest Airlines,1,1,3,3,3,37,7
SkyWork Airlines,3,0,3,3,2,2,5
Small Planet Airlines,3,2,3,4,4,85,6
Smartavia,0,0,1,1,2,1,1
SmartLynx Airlines,1,0,2,4,1,2,2
SmartWings,2,2,2,2,2,85,4
Sol Líneas Aéreas,0,0,0,0,1,1,1
Solomon Airlines,3,1,4,4,3,9,7
Somon Air,2,1,3,3,3,3,4
South African Airways,3,3,3,3,3,434,6
Southwest Airlines,3,2,3,3,3,1152,5
SpiceJet,2,1,2,3,2,388,4
Spirit Airlines,1,1,2,2,2,3361,3
Spring Airlines,2,1,2,3,3,59,5
SriLankan Airlines,4,3,3,4,4,542,6
Sriwijaya Air,3,1,3,3,3,52,5
Star Peru,2,1,2,2,2,18,4
StarFlyer,5,4,5,5,5,5,8
Sudan Airways,0,0,0,0,0,1,1
Sun Country Airlines,2,2,2,3,2,245,4
Sun-Air,5,3,5,5,5,2,10
SunExpress,3,2,3,4,2,39,4
Sunwing Airlines,2,2,2,3,2,660,3
Suparna Airlines,1,1,4,4,3,1,5
